"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
5.5,-0.00267452930429501
5.5015,-0.0026759783543445
5.503,-0.00267742778626445
5.5045,-0.00267887760003478
5.506,-0.0026803277956364
5.5075,-0.00268177837305309
5.509,-0.00268322933226479
5.5105,-0.00268468067325529
5.512,-0.00268613239600261
5.5135,-0.00268758450049341
5.515,-0.00268903698670572
5.5165,-0.00269048985462428
5.518,-0.00269194310422711
5.5195,-0.00269339673549799
5.521,-0.00269485074841686
5.5225,-0.00269630514296655
5.524,-0.00269775991912602
5.5255,-0.00269921507688293
5.527,-0.00270067061621143
5.5285,-0.00270212653709531
5.53,-0.00270358283952029
5.5315,-0.00270503952346149
5.533,-0.00270649658890365
5.5345,-0.00270795403582576
5.536,-0.00270941186421063
5.5375,-0.00271087007403917
5.539,-0.00271232866529229
5.5405,-0.0027137876379528
5.542,-0.00271524699199678
5.5435,-0.00271670672741189
5.545,-0.00271816684417227
5.5465,-0.00271962734226558
5.548,-0.00272108822166789
5.5495,-0.00272254948236299
5.551,-0.00272401112433179
5.5525,-0.0027254731475523
5.554,-0.00272693555200733
5.5555,-0.00272839833767682
5.557,-0.00272986150454362
5.5585,-0.00273132505258571
5.56,-0.00273278898178593
5.5615,-0.00273425329212229
5.563,-0.00273571798357762
5.5645,-0.00273718305613184
5.566,-0.00273864850976587
5.5675,-0.0027401143444606
5.569,-0.00274158056019404
5.5705,-0.00274304715695094
5.572,-0.00274451413470932
5.5735,-0.00274598149344621
5.575,-0.00274744923314734
5.5765,-0.00274891735379168
5.578,-0.00275038585535627
5.5795,-0.00275185473782491
5.581,-0.00275332400117656
5.5825,-0.00275479364539021
5.584,-0.00275626367044963
5.5855,-0.00275773407632899
5.587,-0.00275920486301304
5.5885,-0.00276067603048364
5.59,-0.00276214757871592
5.5915,-0.00276361950768979
5.593,-0.00276509181738714
5.5945,-0.00276656450779079
5.596,-0.00276803757887296
5.5975,-0.0027695110306213
5.599,-0.00277098486300997
5.6005,-0.00277245907602468
5.602,-0.00277393366963765
5.6035,-0.00277540864383365
5.605,-0.00277688399859068
5.6065,-0.00277835973389158
5.608,-0.00277983584971145
5.6095,-0.00278131234602734
5.611,-0.0027827892228269
5.6125,-0.00278426648008235
5.614,-0.00278574411777749
5.6155,-0.00278722213589129
5.617,-0.00278870053440273
5.6185,-0.00279017931328787
5.62,-0.00279165847252955
5.6215,-0.00279313801210578
5.623,-0.00279461793199456
5.6245,-0.00279609823217873
5.626,-0.00279757891263341
5.6275,-0.00279905997334045
5.629,-0.00280054141427689
5.6305,-0.00280202323542269
5.632,-0.00280350543675873
5.6335,-0.00280498801825725
5.635,-0.00280647097990299
5.6365,-0.00280795432167493
5.638,-0.00280943804355012
5.6395,-0.00281092214550753
5.641,-0.00281240662752419
5.6425,-0.00281389148958295
5.644,-0.00281537673165699
5.6455,-0.0028168623537301
5.647,-0.00281834835577933
5.6485,-0.00281983473777979
5.65,-0.00282132149971335
5.6515,-0.00282280864155801
5.653,-0.00282429616329372
5.6545,-0.00282578406489269
5.656,-0.00282727234634162
5.6575,-0.00282876100761079
5.659,-0.00283025004868691
5.6605,-0.00283173946954024
5.662,-0.00283322927015364
5.6635,-0.00283471945050318
5.665,-0.0028362100105659
5.6665,-0.00283770095032174
5.668,-0.00283919226974967
5.6695,-0.00284068396882675
5.671,-0.00284217604752807
5.6725,-0.00284366850583552
5.674,-0.00284516134372517
5.6755,-0.00284665456117309
5.677,-0.00284814815816213
5.6785,-0.00284964213466354
5.68,-0.00285113649065918
5.6815,-0.00285263122612417
5.683,-0.00285412634103942
5.6845,-0.0028556218353781
5.686,-0.00285711770912113
5.6875,-0.00285861396224555
5.689,-0.0028601105947255
5.6905,-0.0028616076065419
5.692,-0.00286310499767178
5.6935,-0.00286460276808929
5.695,-0.00286610091777438
5.6965,-0.00286759944670506
5.698,-0.00286909835485547
5.6995,-0.00287059764220459
5.701,-0.00287209730873043
5.7025,-0.00287359735440713
5.704,-0.00287509777921465
5.7055,-0.0028765985831252
5.707,-0.00287809976611967
5.7085,-0.00287960132817513
5.71,-0.00288110326926765
5.7115,-0.00288260558937041
5.713,-0.00288410828846625
5.7145,-0.00288561136652642
5.716,-0.0028871148235299
5.7175,-0.00288861865945278
5.719,-0.00289012287427209
5.7205,-0.00289162746796295
5.722,-0.00289313244050434
5.7235,-0.00289463779186944
5.725,-0.00289614352203819
5.7265,-0.00289764963098089
5.728,-0.0028991561186794
5.7295,-0.00290066298510787
5.731,-0.00290217023024336
5.7325,-0.00290367785406097
5.734,-0.00290518585653679
5.7355,-0.00290669423764401
5.737,-0.00290820299736159
5.7385,-0.00290971213566659
5.74,-0.00291122165253412
5.7415,-0.00291273154793737
5.743,-0.00291424182185435
5.7445,-0.00291575247426114
5.746,-0.00291726350512996
5.7475,-0.00291877491443882
5.749,-0.00292028670216478
5.7505,-0.00292179886828004
