"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
6,-0.00317856737731928
6.001,-0.00317962371739732
6.002,-0.00318068018662118
6.003,-0.00318173678504975
6.004,-0.00318279351274193
6.005,-0.00318385036975373
6.006,-0.00318490735614595
6.007,-0.00318596447197556
6.008,-0.00318702171730242
6.009,-0.00318807909218157
6.01,-0.00318913659667672
6.011,-0.00319019423084387
6.012,-0.00319125199474094
6.013,-0.00319230988842491
6.014,-0.00319336791195659
6.015,-0.00319442606539198
6.016,-0.00319548434878709
6.017,-0.00319654276220466
6.018,-0.00319760130570358
6.019,-0.00319865997933697
6.02,-0.00319971878316565
6.021,-0.00320077771724753
6.022,-0.00320183678163959
6.023,-0.00320289597640073
6.024,-0.00320395530158886
6.025,-0.00320501475726192
6.026,-0.0032060743434788
6.027,-0.00320713406029454
6.028,-0.00320819390777092
6.029,-0.00320925388596201
6.03,-0.00321031399492961
6.031,-0.00321137423472681
6.032,-0.00321243460541444
6.033,-0.00321349510704946
6.034,-0.00321455573968788
6.035,-0.00321561650339148
6.036,-0.0032166773982153
6.037,-0.00321773842421533
6.038,-0.00321879958145144
6.039,-0.00321986086998058
6.04,-0.00322092228986263
6.041,-0.00322198384115067
6.042,-0.00322304552390458
6.043,-0.00322410733818421
6.044,-0.00322516928404267
6.045,-0.00322623136153885
6.046,-0.00322729357073068
6.047,-0.00322835591167512
6.048,-0.00322941838443397
6.049,-0.00323048098905647
6.05,-0.00323154372560344
6.051,-0.00323260659413281
6.052,-0.00323366959470445
6.053,-0.00323473272736856
6.054,-0.00323579599218984
6.055,-0.00323685938922137
6.056,-0.00323792291852206
6.057,-0.00323898658014406
6.058,-0.003240050374153
6.059,-0.0032411143005991
6.06,-0.00324217835954222
6.061,-0.00324324255104125
6.062,-0.00324430687514544
6.063,-0.00324537133191948
6.064,-0.00324643592142033
6.065,-0.00324750064370013
6.066,-0.0032485654988197
6.067,-0.00324963048683313
6.068,-0.00325069560780122
6.069,-0.00325176086177516
6.07,-0.00325282624881674
6.071,-0.00325389176898099
